+--------------+-------+---------------------+---------------------+----------+----------+
| userid       | shift | shiftdate           | received            | event_id | position |
| diane13      | 2     | 2010-02-15 00:00:00 | 2010-02-15 00:00:00 |      558 | E2       |
| drew44       | 4     | 2010-02-15 00:00:00 | 2010-02-14 00:00:00 |      552 | E2       |
| dave11       | 4     | 2010-02-13 00:00:00 | 2010-02-14 00:00:00 |      554 | D        |
| kristinh40   | 1     | 2010-02-14 00:00:00 | 2010-02-14 00:00:00 |      555 | E1       |
| kristinh40   | 2     | 2010-02-14 00:00:00 | 2010-02-14 00:00:00 |      556 | E1       |
| kristinh40   | 3     | 2010-02-14 00:00:00 | 2010-02-14 00:00:00 |      557 | E1       |
| mauree38     | 4     | 2010-02-17 00:00:00 | 2010-02-15 00:00:00 |      560 | E1       |
| drew44       | 4     | 2010-02-17 00:00:00 | 2010-02-15 00:00:00 |      561 | E2       |
| erint30      | 3     | 2010-04-17 00:00:00 | 2010-04-05 00:00:00 |      711 | E1       |
| erint30      | 2     | 2010-04-17 00:00:00 | 2010-04-05 00:00:00 |      710 | E1       |
| jan017       | 2     | 2010-04-17 00:00:00 | 2010-02-16 00:00:00 |      565 | E2       |
| jan017       | 3     | 2010-04-17 00:00:00 | 2010-02-16 00:00:00 |      566 | E2       |
| kristinh40   | 4     | 2010-02-14 00:00:00 | 2010-02-16 00:00:00 |      567 | E1       |
| dave11       | 4     | 2010-02-14 00:00:00 | 2010-02-16 00:00:00 |      568 | D        |
| drew44       | 4     | 2010-02-19 00:00:00 | 2010-02-17 00:00:00 |      571 | D        |
| drew44       | 1     | 2010-02-20 00:00:00 | 2010-02-17 00:00:00 |      572 | D        |
| drew44       | 2     | 2010-02-20 00:00:00 | 2010-02-17 00:00:00 |      573 | D        |
| rond46       | 4     | 2010-02-19 00:00:00 | 2010-02-17 00:00:00 |      574 | E1       |
| rond46       | 1     | 2010-02-20 00:00:00 | 2010-02-17 00:00:00 |      575 | E1       |
| rond46       | 2     | 2010-02-20 00:00:00 | 2010-02-17 00:00:00 |      576 | E1       |
| diane13      | 4     | 2010-02-22 00:00:00 | 2010-02-23 00:00:00 |      577 | E2       |
| diane13      | 1     | 2010-02-23 00:00:00 | 2010-02-23 00:00:00 |      578 | E2       |
| paulb283     | 1     | 2010-03-02 00:00:00 | 2010-03-01 00:00:00 |      579 | D        |
| paulb283     | 2     | 2010-03-02 00:00:00 | 2010-03-01 00:00:00 |      580 | D        |
| paulb283     | 3     | 2010-03-02 00:00:00 | 2010-03-01 00:00:00 |      581 | D        |
| rond46       | 1     | 2010-03-02 00:00:00 | 2010-03-01 00:00:00 |      582 | E1       |
| rond46       | 2     | 2010-03-02 00:00:00 | 2010-03-01 00:00:00 |      583 | E1       |
| rond46       | 3     | 2010-03-02 00:00:00 | 2010-03-01 00:00:00 |      584 | E1       |
| mauree38     | 4     | 2010-03-24 00:00:00 | 2010-03-03 00:00:00 |      588 | E1       |
