+------------+-------+---------------------+---------------------+----------+----------+
| userid     | shift | shiftdate           | received            | event_id | position |
| dave11     | 1     | 2009-07-04 00:00:00 | 2009-06-26 00:00:00 |      144 | D        |
| rond46     | 4     | 2009-07-03 00:00:00 | 2009-07-02 00:00:00 |      146 | E1       |
| rond46     | 1     | 2009-07-04 00:00:00 | 2009-07-02 00:00:00 |      147 | E1       |
| rond46     | 4     | 2009-07-04 00:00:00 | 2009-07-02 00:00:00 |      148 | E1       |
| rond46     | 1     | 2009-07-05 00:00:00 | 2009-07-02 00:00:00 |      149 | E1       |
| drew44     | 4     | 2009-07-04 00:00:00 | 2009-07-04 00:00:00 |      150 | D        |
| drew44     | 1     | 2009-07-05 00:00:00 | 2009-07-04 00:00:00 |      151 | E2       |
| dave11     | 4     | 2009-07-03 00:00:00 | 2009-07-10 00:00:00 |      152 | D        |
| dave11     | 1     | 2009-07-05 00:00:00 | 2009-07-10 00:00:00 |      153 | D        |
| dave11     | 4     | 2009-07-06 00:00:00 | 2009-07-10 00:00:00 |      154 | D        |
| dave11     | 2     | 2009-07-09 00:00:00 | 2009-07-10 00:00:00 |      155 | D        |
| dave11     | 3     | 2009-07-09 00:00:00 | 2009-07-10 00:00:00 |      156 | D        |
| dave11     | 1     | 2009-07-10 00:00:00 | 2009-07-10 00:00:00 |      157 | D        |
| dave11     | 2     | 2009-07-10 00:00:00 | 2009-07-10 00:00:00 |      158 | D        |
| mikee37    | 3     | 2009-07-10 00:00:00 | 2009-07-10 00:00:00 |      159 | E1       |
| dave11     | 1     | 2009-07-19 00:00:00 | 2009-07-18 00:00:00 |      160 | D        |
| dave11     | 2     | 2009-07-19 00:00:00 | 2009-07-18 00:00:00 |      161 | D        |
| rond46     | 3     | 2009-08-01 00:00:00 | 2009-07-31 00:00:00 |      162 | E1       |
| rond46     | 4     | 2009-08-01 00:00:00 | 2009-07-31 00:00:00 |      163 | E1       |
| rond46     | 1     | 2009-08-02 00:00:00 | 2009-07-31 00:00:00 |      164 | E1       |
| drew44     | 4     | 2009-08-01 00:00:00 | 2009-07-31 00:00:00 |      165 | E2       |
| drew44     | 1     | 2009-08-02 00:00:00 | 2009-07-31 00:00:00 |      166 | E2       |
| dave11     | 3     | 2009-08-01 00:00:00 | 2009-08-04 00:00:00 |      168 | D        |
| dave11     | 4     | 2009-07-31 00:00:00 | 2009-08-04 00:00:00 |      169 | D        |
| dave11     | 4     | 2009-08-04 00:00:00 | 2009-08-04 00:00:00 |      170 | D        |
| dave11     | 1     | 2009-08-09 00:00:00 | 2009-08-08 00:00:00 |      171 | D        |
| dave11     | 2     | 2009-08-09 00:00:00 | 2009-08-08 00:00:00 |      172 | D        |
| dave11     | 3     | 2009-08-09 00:00:00 | 2009-08-08 00:00:00 |      173 | D        |
| dave11     | 4     | 2009-08-09 00:00:00 | 2009-08-08 00:00:00 |      174 | D        |
| paulb283   | 2     | 2009-08-13 00:00:00 | 2009-08-13 00:00:00 |      175 | D        |
| paulb283   | 3     | 2009-08-13 00:00:00 | 2009-08-13 00:00:00 |      176 | D        |
| paulb283   | 4     | 2009-08-13 00:00:00 | 2009-08-13 00:00:00 |      177 | D        |
| paulb283   | 1     | 2009-08-14 00:00:00 | 2009-08-13 00:00:00 |      178 | D        |
| paulb283   | 2     | 2009-08-14 00:00:00 | 2009-08-13 00:00:00 |      179 | D        |
| paulb283   | 3     | 2009-08-14 00:00:00 | 2009-08-13 00:00:00 |      180 | D        |
| paulb283   | 4     | 2009-08-14 00:00:00 | 2009-08-13 00:00:00 |      181 | D        |
| paulb283   | 1     | 2009-08-15 00:00:00 | 2009-08-13 00:00:00 |      182 | D        |
| paulb283   | 2     | 2009-08-15 00:00:00 | 2009-08-13 00:00:00 |      183 | D        |
| paulb283   | 3     | 2009-08-15 00:00:00 | 2009-08-13 00:00:00 |      184 | D        |
| paulb283   | 4     | 2009-08-15 00:00:00 | 2009-08-13 00:00:00 |      185 | D        |
| paulb283   | 1     | 2009-08-16 00:00:00 | 2009-08-13 00:00:00 |      186 | D        |
| dave11     | 1     | 2009-08-23 00:00:00 | 2009-08-22 00:00:00 |      187 | D        |
| dave11     | 2     | 2009-08-23 00:00:00 | 2009-08-22 00:00:00 |      188 | D        |
| dave11     | 1     | 2009-09-03 00:00:00 | 2009-09-02 00:00:00 |      190 | D        |
| dave11     | 2     | 2009-09-03 00:00:00 | 2009-09-02 00:00:00 |      191 | D        |
| dave11     | 1     | 2009-09-04 00:00:00 | 2009-09-02 00:00:00 |      192 | D        |
| dave11     | 2     | 2009-09-04 00:00:00 | 2009-09-02 00:00:00 |      193 | D        |
| mauree38   | 3     | 2009-09-04 00:00:00 | 2009-09-07 00:00:00 |      195 | E1       |
| mauree38   | 4     | 2009-09-04 00:00:00 | 2009-09-07 00:00:00 |      196 | E1       |
| mauree38   | 1     | 2009-09-05 00:00:00 | 2009-09-07 00:00:00 |      197 | E1       |
| mauree38   | 2     | 2009-09-05 00:00:00 | 2009-09-07 00:00:00 |      198 | E1       |
| mauree38   | 3     | 2009-09-05 00:00:00 | 2009-09-07 00:00:00 |      199 | E1       |
